"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vdir6";"Vvit6";"Vdir9";"Vvit9";"Vdir12";"Vvit12";"Vdir15";"Vvit15";"Vdir18";"Vvit18";"Vx";"maxO3v"
"19950429";75.6;10.2;11.8;13;14.4;15;8;8;8;7;7;200;1;260;1;300;3;290;2;20;3;-2.5981;56.2
"19950430";80.2;10.6;11.6;13.9;16.7;16.7;8;8;7;6;3;0;0;310;2;220;2;100;1;90;2;-1.2856;75.6
"19950501";101.4;9.3;15.2;18.5;20.2;18.6;6;6;6;5;6;100;3;140;4;100;5;110;4;100;2;4.924;80.2
"19950502";113;8.1;17.1;22.6;23.9;22.5;2;3;5;6;6;300;1;50;2;90;4;80;4;90;4;4;101.4
"19950503";115.6;9.4;19.5;24.6;25.4;24.1;1;1;1;0;0;330;1;80;3;120;4;130;4;110;3;3.4641;113
"19950504";117.8;10.2;20.6;26.6;27.7;26.1;0;0;1;1;2;0;0;90;2;160;3;200;3;170;2;1.0261;115.6
"19950505";127.8;12.6;22.3;28.1;28.9;27.2;0;0;1;1;1;0;0;160;2;130;4;140;2;80;3;3.0642;117.8
"19950506";144.6;14.5;23.2;27.9;28.6;25.4;3;1;3;1;4;0;0;140;2;120;4;140;2;20;3;3.4641;127.8
"19950507";157;13.3;22;26.7;27.8;24.7;4;1;1;1;4;10;1;140;3;150;3;260;2;230;3;1.5;144.6
"19950508";90.8;12.1;15.8;18.3;18;15.5;8;6;3;1;4;350;4;10;4;350;6;360;5;350;6;-1.0419;157
"19950509";74.4;9.5;13.3;15.8;16.8;13.4;1;4;2;4;7;10;3;350;4;340;4;330;5;10;5;-1.3681;90.8
"19950510";85.8;10;14;17.2;18.1;15.5;5;4;6;2;7;30;3;30;2;40;2;360;4;30;5;1.2856;74.4
"19950511";58.2;10.4;11.2;13.1;13.5;11.2;8;8;8;8;8;80;4;90;4;90;5;70;5;30;4;5;85.8
"19950512";64.4;8;8.7;9.3;8;7.1;8;8;8;8;8;30;7;20;7;10;8;360;10;350;7;1.3892;58.2
"19950513";74;5;9.6;11.6;11.1;10.1;8;3;5;3;1;310;3;360;7;10;8;350;7;340;6;1.3892;64.4
"19950514";85.6;2.4;11.2;14.1;15;13.5;1;3;3;4;5;0;0;160;2;210;2;130;2;100;2;-1;74
"19950515";77.2;6.2;12.2;14.8;15.4;14.6;7;6;7;7;7;100;2;130;4;100;5;130;4;170;3;4.924;85.6
"19950516";42.8;9.1;10.5;12.1;14.3;15.3;8;8;8;7;6;140;4;140;5;140;5;200;1;260;2;3.2139;77.2
"19950517";75;12.4;13.4;15.3;15.1;13.6;7;7;6;6;8;250;6;270;8;270;9;290;7;290;4;-9;42.8
"19950518";80;8;10.7;13.4;13.6;11.9;7;7;6;2;1;10;2;20;4;350;6;330;7;340;6;-1.0419;75
"19950519";70.4;5.3;11.6;13.9;14.2;13.8;1;3;4;7;4;290;2;290;3;350;2;330;3;340;4;-0.3473;80
"19950520";69;6.2;11.7;13.4;14.5;12.9;2;7;7;7;5;0;0;310;3;320;7;350;5;360;4;-4.4995;70.4
"19950521";83.4;5.4;13.6;16.8;17.8;16.9;1;4;3;7;7;0;0;120;4;110;4;100;3;120;4;3.7588;69
"19950522";94.2;9.6;16.5;20;20.9;19.9;7;6;6;6;7;100;2;110;4;110;5;100;6;120;5;4.6985;83.4
"19950523";91.8;12.3;18.3;23;24.7;22.2;4;4;3;2;5;90;2;140;2;150;4;210;6;200;6;2;94.2
"19950524";62;14.2;14.1;16;17.4;17;8;8;8;7;3;180;4;160;3;210;8;230;6;230;5;-4;91.8
"19950525";59.8;10.9;15.6;19.7;20.1;17;2;6;5;4;3;140;1;210;4;230;6;220;6;240;4;-4.5963;62
"19950526";62.4;10.9;16.4;18.6;19.6;17.5;6;6;7;7;7;140;1;180;6;210;5;220;6;210;5;-2.5;59.8
"19950527";60.2;13.9;17;21.6;21.7;19.6;5;7;5;4;6;190;3;210;5;210;7;230;7;230;7;-3.5;62.4
"19950528";64.2;15.7;19.8;21.4;21.7;19.2;6;6;7;6;3;170;4;200;6;220;6;240;6;260;6;-3.8567;60.2
"19950529";68.8;12.1;14.9;17.1;19;17;2;8;6;5;5;230;2;240;3;230;4;240;7;300;5;-3.0642;64.2
"19950530";64.6;10.4;14.9;14.4;16;14.9;6;7;6;7;6;280;2;300;3;320;3;350;6;350;6;-1.9284;68.8
"19950531";76.8;10.7;14.3;16.3;18;16.4;7;7;7;5;1;300;2;340;5;340;5;340;6;350;6;-1.7101;64.6
"19950601";66;9;14;16.7;16;14.8;7;7;7;8;7;320;1;280;1;260;3;290;2;220;3;-2.9544;76.8
"19950602";62.6;11.9;15.1;17.7;16.7;16.2;8;6;6;8;7;20;1;30;2;320;3;340;5;340;4;-1.9284;66
"19950603";46.2;11.7;14;14.9;16.9;16.9;8;8;8;7;8;260;1;240;4;230;4;250;6;250;4;-3.0642;62.6
"19950604";69.4;11.6;16;17.6;16.6;15.7;7;7;6;6;2;210;3;260;4;300;6;350;5;360;6;-5.1962;46.2
"19950605";72.2;8.6;13.9;16.3;16.6;16.3;3;6;6;6;2;290;2;360;4;350;4;10;4;10;5;-0.6946;69.4
"19950606";78.2;8.7;15.7;19.5;20.2;17.8;3;4;4;4;2;0;0;40;2;310;1;330;3;350;5;-0.766;72.2
"19950607";45.2;11;15.9;17.6;19.5;17.6;8;7;7;7;7;240;1;260;1;340;3;320;2;10;5;-1.0261;78.2
"19950608";77.2;11.5;15;16.7;17.3;16;1;5;3;2;2;300;3;30;7;350;8;10;6;10;7;-1.3892;45.2
"19950609";74;8.6;15.3;16.5;18.2;16;1;5;7;6;1;310;2;20;4;30;4;330;4;10;5;2;77.2
"19950610";63.8;7.8;14.2;16.1;15.9;14.4;2;8;8;8;7;280;2;330;4;320;3;340;5;340;5;-1.9284;74
"19950611";45.8;11.8;13.2;16;16.5;15.3;8;8;7;7;7;280;3;290;3;330;4;10;5;10;6;-2;63.8
"19950612";64.6;11.9;13.6;15.2;16.5;14.9;2;8;6;6;7;360;2;40;4;30;5;20;6;360;5;2.5;45.8
"19950613";60;10.8;13.4;14.8;14.4;14.4;5;7;7;6;4;10;2;40;5;10;5;20;5;10;5;0.8682;64.6
"19950614";81;7.7;14.2;16.7;16.6;16.7;0;5;7;7;3;290;1;10;4;10;5;20;6;360;4;0.8682;60
"19950615";65.6;9.9;16;18.5;20.6;19.8;7;6;4;2;1;300;2;340;4;10;6;350;4;350;4;1.0419;81
"19950616";54.6;10.4;14.5;21.4;24.7;21.2;8;2;1;1;4;290;2;240;2;230;2;260;5;20;4;-1.5321;65.6
"19950617";49.6;12.9;15.7;17;14.6;14.2;7;8;8;8;8;230;3;240;6;230;6;230;4;230;6;-4.5963;54.6
"19950618";33.2;15.8;16.9;17.1;16.9;17.6;7;8;8;7;6;240;2;270;4;10;2;10;5;10;4;0.3473;49.6
"19950619";66.6;14.4;18.3;21.6;24.2;23.8;7;6;3;6;7;80;2;230;3;210;3;160;2;230;2;-1.5;33.2
"19950620";60.8;15.1;20.3;22.3;25.3;21.5;7;7;8;7;7;290;2;330;1;330;2;10;2;10;5;-1;66.6
"19950621";56.4;15.3;18.6;23;24.4;22.8;8;3;1;1;1;10;3;30;4;30;4;10;5;10;6;2;60.8
"19950622";78;14.6;18.5;21.6;22.4;21.3;1;1;1;1;3;50;4;60;7;60;7;60;7;60;6;6.0622;56.4
"19950623";77.4;13.2;16;17.9;19.4;19.5;1;3;5;3;1;40;5;50;7;50;8;50;9;40;7;6.1284;78
"19950624";70.8;12.7;14.9;20;21.2;18.2;6;6;1;2;1;20;4;20;6;30;6;10;7;40;7;3;77.4
"19950625";93.6;12.6;18.3;22.5;24.8;24.5;5;1;4;2;1;360;1;50;4;80;5;60;6;80;6;4.924;70.8
"19950626";102.2;17.9;24.3;28.8;29.7;26.7;0;1;1;2;1;50;4;70;5;80;7;70;7;30;7;6.8937;93.6
"19950627";114;19;25.3;29.1;28.7;25.3;0;0;1;2;1;40;5;60;6;70;7;50;7;40;9;6.5778;102.2
"19950628";121.6;17.1;23.6;30.5;30.9;31.2;0;6;2;3;1;350;3;30;3;70;6;90;4;100;6;5.6382;114
"19950629";136.8;21.5;28.6;32.2;33.2;31.5;0;0;1;1;0;70;1;90;4;100;6;100;5;120;4;5.9088;121.6
"19950630";137.4;19.1;27.4;32;33.5;30.6;0;0;1;1;4;100;1;130;1;150;3;250;3;260;4;1.5;136.8
"19950701";136.6;18.3;22.9;30.3;21.8;20.1;6;6;6;8;8;300;1;240;2;260;2;180;7;30;2;-1.9696;137.4
"19950702";86;17.2;19.3;22.7;24.3;20.3;8;7;6;6;7;0;0;240;4;250;3;230;7;250;4;-2.8191;136.6
"19950703";84.4;15.1;17.4;19.2;19.3;19.5;8;7;7;7;2;300;3;330;5;340;4;350;5;20;5;-1.3681;86
"19950704";77.6;12.8;17.6;20.7;20.9;19.1;0;6;7;6;0;310;1;300;1;340;3;350;5;360;5;-1.0261;84.4
"19950705";51;12.3;18.5;19.2;20.3;20.4;1;6;8;8;7;300;2;340;2;340;2;350;3;20;3;-0.684;77.6
"19950706";50.8;14.8;18.3;20.4;20.8;20.8;7;7;7;6;7;340;2;20;2;330;3;360;3;360;3;-1.5;51
"19950707";75.8;13.7;20.2;24.3;26.4;24.5;5;2;5;3;2;350;2;180;1;10;3;50;3;360;5;0.5209;50.8
"19950708";134;15.9;23.9;28.4;29.7;28.3;3;3;6;1;3;10;2;50;1;60;5;70;3;20;5;4.3301;75.8
"19950709";129.6;18.3;26.5;32.7;33.5;32.5;0;1;3;3;2;320;1;90;2;150;3;120;3;90;3;1.5;134
"19950710";98.8;21.2;24.8;25.2;27.6;23.1;7;4;7;5;7;350;2;230;2;320;3;270;3;340;6;-1.9284;129.6
"19950711";66.8;17.7;17.7;21.3;25.1;23.4;8;8;7;4;2;310;2;290;2;260;3;250;5;230;6;-2.9544;98.8
"19950712";71.4;18.1;21.4;24.6;25.7;25.2;4;2;7;7;7;230;3;230;2;170;3;170;3;110;2;0.5209;66.8
"19950713";69.8;16.9;18.6;22.3;25.2;23.3;7;7;7;7;7;280;1;140;3;200;1;140;1;290;4;-0.342;71.4
"19950714";59.6;16.9;19.9;23.2;19.1;20.6;5;7;6;8;6;200;4;220;4;240;7;240;5;220;7;-6.0622;69.8
"19950715";79.2;17;19.9;22.6;24.3;22.8;8;7;5;5;3;240;2;260;4;260;5;240;6;250;6;-4.924;59.6
"19950716";63.6;15.4;19;22.4;21.5;21.4;5;7;6;7;7;220;2;280;4;250;5;260;6;250;5;-4.6985;79.2
"19950717";53.6;17.2;18;22.3;24.8;23.1;8;8;7;7;7;190;2;210;4;210;7;250;6;240;4;-3.5;63.6
"19950718";69.6;15;21;24.9;27;26.9;6;5;6;5;3;230;2;230;4;260;4;290;2;260;2;-3.9392;53.6
"19950719";104.2;18;20.2;27.2;30.6;30.3;8;7;3;3;3;70;3;100;2;180;2;90;1;90;3;0;69.6
"19950720";123.4;19.2;27.6;33.1;34.9;34.1;0;1;1;3;3;330;1;90;1;110;2;70;3;70;3;1.8794;104.2
"19950721";80.6;18.8;23.2;24.3;25.7;21.9;6;0;0;0;1;330;4;340;5;340;5;340;6;360;7;-1.7101;123.4
"19950722";70.6;16.3;19.6;21.4;21.7;19.3;6;2;1;1;0;340;5;360;9;20;8;340;8;340;6;2.7362;80.6
"19950723";105.6;11.3;20;23.4;25.8;24.2;0;0;0;0;1;290;1;140;4;100;2;50;4;20;4;1.9696;70.6
"19950724";117.2;13.9;22.9;28.1;30.1;29.2;1;1;0;0;0;30;1;80;3;80;4;80;5;80;5;3.9392;105.6
"19950725";128;18.4;26.1;31;32.6;31.7;1;4;3;5;7;90;3;110;6;100;7;90;9;110;4;6.8937;117.2
"19950726";96.4;19.3;23.7;24.6;24.1;21.6;7;5;6;7;6;220;4;220;8;220;8;210;9;200;9;-5.1423;128
"19950727";48;17.1;17.8;21.3;22.4;21;8;8;7;6;7;230;7;240;5;240;6;230;7;220;5;-5.1962;96.4
"19950728";56.8;19.6;20.5;22.4;25.4;26.2;8;8;8;3;1;270;4;250;2;240;2;260;2;20;1;-1.7321;48
"19950729";98.2;17;23.3;28;30.2;29.2;9;3;1;0;2;30;1;130;3;120;3;50;2;60;3;2.5981;56.8
"19950730";114.6;15.9;25.9;30.7;31.1;29.9;1;1;3;3;2;0;0;120;1;120;2;300;3;30;5;1.7321;98.2
"19950731";138.8;19.2;25.4;29.6;30.7;28.9;2;0;4;5;4;350;1;10;2;20;3;40;4;10;6;1.0261;114.6
"19950801";140.8;17.9;25.6;32;32.2;32;5;2;1;3;4;290;1;180;1;10;2;150;4;130;3;0.3473;138.8
"19950802";134.6;20.5;24;29.9;32.7;26.2;7;5;6;6;3;0;0;320;3;50;1;270;2;340;4;0.766;140.8
"19950803";NA;18.7;26.5;30.4;34.6;33.1;6;7;7;7;6;0;0;110;1;160;2;110;5;110;5;0.684;134.6
"19950804";173;19.6;28.2;32.5;34.3;29.3;1;0;1;1;5;80;2;90;6;110;5;100;5;230;5;4.6985;NA
"19950805";114.8;17.4;22.2;26.3;23.4;18.3;5;1;3;8;8;270;1;20;5;300;2;270;7;330;6;-1.7321;173
"19950806";104.4;17.3;19.4;22.7;22.5;20.8;7;7;6;7;7;100;1;0;0;320;2;230;3;360;4;-1.2856;114.8
"19950807";76.6;17.4;20;20.1;19.4;19.4;8;6;8;8;8;10;3;30;4;30;6;20;6;20;5;3;104.4
"19950808";75;14.5;18.5;20.1;20.4;19.5;1;7;7;7;7;20;4;50;6;60;6;60;5;40;5;5.1962;76.6
"19950809";115.8;16.5;21;24.2;25.4;25.3;8;3;2;7;1;30;3;70;4;50;5;80;5;80;4;3.8302;75
"19950810";144;16.8;24.2;27.2;29.2;28.7;0;1;4;6;2;100;2;90;4;120;6;120;5;120;3;5.1962;115.8
"19950811";144.4;17;25.1;30.6;32.4;30.1;0;0;1;2;1;0;0;170;1;280;1;250;4;250;3;-0.9848;144
"19950812";108.2;17.2;18;20.5;25.7;24.2;8;8;7;1;5;330;2;300;3;300;2;340;2;20;6;-1.7321;144.4
"19950813";72.4;18.1;19.8;23;23.4;21.1;7;3;3;1;1;340;4;340;5;360;6;340;7;340;7;0;108.2
"19950814";88.6;14.6;19.4;22.3;22.3;21.1;1;3;4;7;5;320;3;340;5;360;5;20;6;20;8;0;72.4
"19950815";112;12.2;20.3;24.4;25.9;23.9;1;1;2;2;0;330;2;50;2;20;5;40;4;20;5;1.7101;88.6
"19950816";131.2;13.1;21.8;27.1;29;26.2;0;0;1;6;3;290;2;90;1;50;5;60;5;10;5;3.8302;112
"19950817";131.6;14.7;24.8;28.6;29.4;28;3;3;1;3;1;300;1;70;3;60;5;60;7;60;3;4.3301;131.2
"19950818";125.6;14.7;24.1;28;28.8;26.8;1;1;2;2;3;290;1;80;3;70;6;40;4;10;5;5.6382;131.6
"19950819";155.8;15;22.8;29.6;30.3;27.9;0;0;2;2;1;280;1;10;2;50;2;320;2;360;5;1.5321;125.6
"19950820";161.4;17.8;22.2;28.4;29.2;26.6;6;0;0;3;7;340;3;360;4;20;3;360;6;350;3;1.0261;155.8
"19950821";125.4;16.3;23.9;28.2;28.2;25.9;0;0;1;3;0;310;2;30;3;60;5;360;6;360;6;4.3301;161.4
"19950822";111.4;14.3;22.8;27.2;28.2;25.3;1;1;1;1;1;310;3;20;5;30;5;350;5;360;5;2.5;125.4
"19950823";91.4;17.7;21;23;23.9;21.7;7;5;8;7;7;350;4;320;3;330;6;330;4;350;6;-3;111.4
"19950824";68;14;19.9;23.2;24.4;22.7;5;5;5;4;6;300;3;330;5;350;7;330;5;360;4;-1.2155;91.4
"19950825";73;19.1;20.5;23.8;26;24.1;8;7;7;4;5;260;5;270;4;260;4;280;6;330;6;-3.9392;68
"19950826";86;14.9;19.7;22.8;24.4;21.3;1;5;2;1;1;280;3;330;5;320;6;330;7;350;6;-3.8567;73
"19950827";73.8;17.4;20.6;23.2;22.8;18.3;6;6;7;7;7;280;2;310;5;340;6;330;9;340;9;-2.0521;86
"19950828";65.4;13.2;16.1;20;19.6;17.1;6;6;4;4;5;10;3;350;6;350;7;20;7;350;7;-1.2155;73.8
"19950829";65.4;9.6;17.7;21.3;20.7;19.8;1;3;5;7;5;280;2;10;4;340;6;350;7;360;6;-2.0521;65.4
"19950830";81.2;16.7;18.4;19.1;21.6;20.4;7;5;6;2;1;30;4;60;5;40;5;50;5;20;5;3.2139;65.4
"19950831";60.6;10.2;15.9;20.5;20.8;20.9;5;7;7;7;4;320;2;310;2;10;6;10;6;10;6;1.0419;81.2
"19950901";58.8;15.9;18.7;19.4;20.8;18.7;7;7;7;5;1;30;3;30;3;350;4;20;7;360;5;-0.6946;60.6
"19950902";68;13.1;16.1;21.4;22.1;18.4;8;7;7;7;6;0;0;260;2;330;4;320;5;280;2;-2;58.8
"19950903";69.8;11.1;16.9;19.7;19;16.2;6;2;5;6;1;270;3;280;6;280;7;280;7;330;4;-6.8937;68
"19950904";62.2;12;17;20.7;20.2;17.1;5;7;7;7;7;250;3;270;5;270;4;270;3;20;2;-4;69.8
"19950905";66.2;12;16.2;19;21;18.4;7;3;4;5;6;200;1;260;3;290;3;250;3;320;2;-2.8191;62.2
"19950906";64.8;13;17.7;17.5;18.1;18.3;7;7;8;8;6;160;2;160;6;180;7;180;7;170;7;0;66.2
"19950907";67;17.5;17.1;18.9;16.7;16.8;7;8;7;8;8;200;9;200;12;210;12;210;16;240;12;-6;64.8
"19950908";79.8;15.7;18;20.6;20.7;17.6;6;5;7;7;4;280;5;290;7;280;7;270;8;280;4;-6.8937;67
"19950909";65.6;12.8;16.9;20.6;21;17.3;1;5;6;7;8;220;2;250;4;190;6;230;7;240;2;-1.0419;79.8
"19950910";59;15.2;15.6;19;20.2;17.6;7;8;7;8;8;140;2;140;1;140;3;170;4;190;3;1.9284;65.6
"19950911";78;11.5;16.6;19.8;16.5;17.7;0;2;5;7;4;260;3;250;5;240;4;330;3;230;4;-3.4641;59
"19950912";56.2;11.3;16.5;18.4;15.2;16.2;3;5;4;4;5;180;3;240;4;250;4;220;2;210;2;-3.7588;78
"19950913";70.6;10.2;14;17.8;20.1;18.6;5;7;6;5;2;0;0;230;1;250;2;330;3;10;2;-1.8794;56.2
"19950914";45.6;13.8;14.3;13.6;16.1;15.8;8;8;8;7;7;170;4;170;7;320;6;220;2;260;5;-3.8567;70.6
"19950915";48.2;13.6;15.6;17;15.1;14.8;8;6;7;7;7;200;5;230;5;260;5;280;4;290;4;-4.924;45.6
"19950916";75.2;12.5;15.1;17.1;17.5;15.2;7;7;6;5;7;290;3;290;4;320;5;330;4;250;1;-3.2139;48.2
"19950917";83.6;9.8;13.2;19.4;20.1;17.8;4;7;4;7;7;0;0;0;0;110;3;70;2;30;3;2.8191;75.2
"19950918";75.2;14.3;16.2;19.8;18.4;16.6;7;7;6;7;6;80;2;160;4;110;4;110;4;60;5;3.7588;83.6
"19950919";91.8;10.9;15.1;19.2;18.2;17.7;2;7;7;7;8;350;3;20;5;30;7;360;7;360;7;3.5;75.2
"19950920";71.2;13.7;16.4;17.4;18.6;15.9;1;6;5;3;2;10;5;10;8;360;8;360;7;10;4;0;91.8
"19950921";72.6;10.4;15.6;18.3;17.5;15.5;7;1;3;3;1;300;1;40;4;360;4;10;5;10;4;0;71.2
"19950922";70.8;7.6;12.9;17;18.6;17;1;3;7;6;4;0;0;360;1;60;2;360;2;10;3;1.7321;72.6
"19950923";53.2;10.8;12.2;18;17.9;17;9;9;7;7;3;290;1;300;2;330;1;320;4;330;2;-0.5;70.8
"19950924";66.8;12.4;14.9;14.7;17.9;14;6;8;7;6;3;230;3;240;5;300;4;330;10;330;8;-3.4641;53.2
"19950925";58;8.6;12.9;16.1;17.3;15.4;4;1;3;6;7;300;2;290;2;330;4;340;4;340;2;-2;66.8
"19950926";49.2;11.4;14.6;16.2;16.8;16.3;7;7;7;7;7;230;3;240;4;220;6;230;6;230;5;-3.8567;58
"19950927";60.4;16.5;17.6;15.9;17.2;14.7;8;8;8;5;7;240;6;270;4;320;7;320;6;320;4;-4.4995;49.2
"19950928";49.6;6.7;11.6;15.8;15.2;13;4;2;7;6;7;280;1;280;2;300;6;320;3;350;2;-5.1962;60.4
"19950929";45;7.6;11.1;15.3;15.9;13.9;6;7;7;7;7;190;1;0;0;210;3;220;3;190;2;-1.5;49.6
"19950930";52.8;10.9;11.9;14.3;15.3;15.6;8;8;8;8;8;170;6;150;4;180;5;200;4;200;3;0;45
"19960401";75.2;3.7;5.1;8.8;9.2;7.9;7;7;6;5;6;80;6;80;7;70;7;60;7;30;7;6.5778;86.8
"19960402";75.4;0.2;5;6.3;7.6;6.1;0;1;5;3;1;30;4;30;5;30;7;20;5;360;7;3.5;75.2
"19960403";81.6;-0.2;5.5;7.1;8.8;8.1;5;2;5;3;3;0;0;40;5;40;5;20;5;40;3;3.2139;75.4
"19960404";95.8;-1.6;6.5;10.5;12.2;10.7;0;0;0;0;0;0;0;90;4;100;5;90;3;60;4;4.924;81.6
"19960405";64;0.3;8;9.3;8.1;6.9;6;1;7;7;8;350;1;80;5;90;5;110;3;60;2;5;95.8
"19960406";53;4.3;6.9;8.6;9.6;9.6;8;8;8;8;8;0;0;0;0;310;2;350;2;360;1;-1.5321;64
"19960407";70.2;7.1;8.2;10.3;11.8;11.6;8;8;8;8;8;340;1;40;1;330;2;320;2;340;2;-1;53
"19960408";83.4;7.3;8.9;12.4;13.2;12.6;8;8;8;8;8;280;1;210;1;240;2;320;2;160;1;-1.7321;70.2
"19960409";87;4.9;10.2;15.2;16.6;15.4;7;7;6;3;3;90;2;140;2;170;3;160;3;160;3;0.5209;83.4
"19960410";79.6;8.6;9.9;13.5;16.3;13.6;8;8;7;6;7;150;2;190;3;210;3;290;3;10;4;-1.5;87
"19960411";81;8.2;10.6;14.3;16;15;7;7;7;6;7;0;0;310;2;300;1;340;1;20;2;-0.866;79.6
"19960412";79.8;9.2;11.6;17.9;18.6;16.1;7;7;5;7;8;110;1;150;1;190;2;210;3;280;4;-0.3473;81
"19960413";50;10.3;11.2;12.8;13.4;12;8;8;7;7;5;260;1;290;2;290;2;340;4;10;4;-1.8794;79.8
"19960414";86.8;6.2;8;12.1;13.8;12.9;8;8;8;8;8;300;2;330;2;280;1;290;2;310;2;-0.9848;50
"19960415";70;11.3;14.7;16.5;17;16.2;7;6;7;7;7;160;2;170;3;170;4;170;4;250;3;0.6946;86.8
"19960416";105.8;7.4;13.3;18.6;17.4;15.4;7;7;6;8;8;120;2;140;4;150;5;170;5;200;3;2.5;70
"19960417";81.4;7.9;11.7;15;16.3;12;4;6;6;6;6;240;2;300;6;280;6;290;5;240;3;-5.9088;105.8
"19960418";68.2;8.1;12.5;15.2;14.2;13.5;9;6;6;7;7;200;4;210;7;210;7;230;7;220;4;-3.5;81.4
"19960419";87;9.1;13.2;17.7;19.1;18.5;8;5;7;7;7;190;3;210;2;190;3;170;5;170;2;-0.5209;68.2
"19960420";93.6;13.5;15.1;18.1;19.9;17.3;7;7;7;6;6;120;1;160;4;200;6;180;6;200;3;-2.0521;87
"19960421";95.6;11.9;17.9;20.8;19.6;14.4;7;1;7;4;8;140;5;180;8;200;10;230;8;230;7;-3.4202;93.6
"19960422";63.6;10.5;11.3;13.4;15;14.1;8;7;7;7;8;90;3;80;5;60;3;0;0;130;2;2.5981;95.6
"19960423";68.6;9.6;11.6;12.7;11.7;12.7;8;7;7;7;3;300;6;240;5;260;6;260;4;230;4;-5.9088;63.6
"19960424";81.6;6.7;12.7;14.3;13.3;11.4;2;6;6;7;3;220;3;280;4;310;4;250;6;20;3;-3.0642;68.6
